i love the flower teasi purchase them often from may diffeernt sourcesthese seemed stale not a rich flavorthe box seemed like it had gotten wet and was mustyvery disapointed in the whole purchasethe tea pot was a very small cup of tea for only one,-1
this is a great and attentive company attends to your emails and concerns however this particular fish is somewhat dry for king salmon it is supposed to be oily this is not the fish comes in a pouch more like canned tuna it is just ok but i would not purchase this again for the price very similar to chicken of the sea tuna,-1
i do not mind subtle but i thought outside of peppery on the back of the throat it seems quite tasteless i imagine some like it this way but i would like more green and olivevy,-1
not much to say here literally a cardboard shipping box filled with k cups looked like somebody just grabbed a handful and just threw them in a box and sent them off this may not bother some but to me this is poor presentation i would have expected something similar to what you find in stores an individual manufacturer is type boxing sent in a shipping box frankly i worried about the integrity of the product how would i know who or where this product came from for all i know someone picked them from a refused batch and simply threw them in a box and called it good additionally upon further inspection the k cups looked a little dirty it appeared that they had collected dust not sure if this was due to the packaging or simply bad product i guess that is about it i can not really speak to the actual coffee itself since i did not try it i should be fair and say upon calling amazon with my concern they were happy to refund me entirely and asked that i dispose of the product since it is a non returnable item i will be tossing this,-1
do not let the limited of stars fool you like they did me they talk about breast milk being liquid gold well mine leaked is so far it may work well for solids but i purchased along with other brands for milk storage the first thawing leaked about of breast milk all over my mom is fridge shelf leaving only a drop or in the bag being aware of this i thawed a second bag of about of breast milk in a clean bowl to have it leak completely out there are better products out there that are biodegradable i have used them with no problems so there is no reason to settle on this product it is quite possible that i had a bad lot but when i work that hard to leave a sitter my mom with enough milk for my kid and it is wasted it is devastating fortunately i left her with too much milk so my child did not go hungry i will be contacting the manufacturer regarding this issue so they can try to resolve this matter i would not recommend,-1
this is a pretty bad product whatever the manufacturer intended taste was not a priority,-1
what we were hoping for something a little more like the picture we were especially excited to try chocolate glazed donut and pumpkin spice what we hazelnut caramel vanilla french wild mountain cinammon southern butter mocha nut french vanilla supremesadly we already have entire boxes of wild mountain blueberry and caramel vanilla creme and the ones we were most interested in from this bunch we only got one or two of my mistake for not reading the reviews but i disagree with the guy who said that the description covers the sellers behind when it comes to variety the description says that a buyer will get a wide variety and i hardly think flavors comprising more than half of the package qualifies as wide variety i am extremely disappointed with this purchase if i would have bought these flavors on the keurig website i would have paid less per k cup than i paid for this package and i paid the higher price specifically for the variety i do not feel i got what i paid for and i think amazon should not allow this seller to continue falsely advertising final note the k cups came in a paper bag with no visible expiration dates one of them was punctured on top considering some of the other reviews i am worried about whether or not these k cups are even good anymore some of the other reviews suggest that at least some people received theirs in a box with expiration dates included,-1
while i have liked the other products in this line using this was a disaster my scalp has been itchy with signs of dandruff and i thought since the other products were so helpful this would be good as well yikes for starters there are no directions on the jar so what to do it is very greasy but i took a handful and rubbed it into my scalp and massaged so far so good i left it on my scalp for the rest of the evening to give it a chance to work the horror started when i tried to wash it out after shampooing it three times i gave up and just let it dry the next morning i was a mass of greasy looking curls i will be washing my hair every day until i get rid of this but i certainly will not try it again,-1
ordered dozen red roses and was assured delivery by february not only did the roses never arrive but i have yet to recieve any replies to my enquieries horrible horrible service,-1
i ate the last bowl today of whole grain kashi and the last shake of the box which had an experation date of october exposed the insect not sure what kind of bug it was but i know its not whole grain anything,-1
join the coffee club for free at nespresso and pay per capsule these capsules are each this price is rediculous,-1
i have not had a werther is candy for a long time so i bought the little box of sugar free had a couple and then read the ingredients which include acesulfame k look it up in my opinion it is poison worse than aspartame that companies use in diet soft drinks that affects the circulation of the brain i see more and more people reading the labels on products in the aisles of the supermarkets read the labels,-1
i have purchased a few of the enjoy life faux cookie products and although the price and quantity were hard to digest i thought the taste was more than tolerable i returned the faux granola because it was too hard a bowl of pebbles literally but it may have been on the store shelf too long btw you can not see inside the package or any other enjoy life package for that matter then the perky is rice crunch i purchased and enjoyed for months changed the label had the enjoy life logo on it and ounces less product at a higher price okay the times they are a changin and i moved on last week i purchased the chewy on the go bars sunbutter crunch the taste was good what more do i deserve however it was a marketing triumph four dollars and forty nine cents for diminutive bars at least compared to the packaging the bars are about two thirds the size of the foil wrap they come in add in the dead space in the box and you got what used to be referred to as a rip off in a health food store no one can hear you scream,-1
